date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,280,,13,,126,,24,,6,,25
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,374,,17,,31,,21,,5,,26,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,273,,13,,99,,20,,11,,26
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,328,,21,,35,,23,,9,,26,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,177,,2,,16,,3,,1,,18
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,186,,3,,7,,3,,1,,17,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,133,,15,,22,,11,,6,,17
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,140,,14,,11,,13,,9,,17,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1398,,14,,172,,27,,30,,234
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1451,,21,,114,,26,,28,,235,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,280,,12,,127,,23,,6,,25
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,376,,17,,30,,20,,5,,25,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,272,,13,,102,,20,,10,,26
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,332,,20,,35,,23,,8,,25,
