date,asn,is_up_and_open,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,12714,S,nl-ams,NetByNet,sym,asy24,1,1153,0,1153
2022-05-01 00:00:00,12731,S,nl-ams,IPHH Internet Port Hamburg GmbH,sym,asy24,1,31,0,31
2022-05-01 00:00:00,12759,S,nl-ams,SOCO Network Solutions GmbH,sym,asy24,1,59,0,59
2022-05-01 00:00:00,12759,S,uk-lnd,SOCO Network Solutions GmbH,sym,asy24,1,59,0,59
2022-05-01 00:00:00,12779,,nl-ams,IT.Gate S.p.A.,sym,asy24,1,43,0,43
2022-05-01 00:00:00,12850,S,nl-ams,Enter,sym,asy24,1,69,0,69
2022-05-01 00:00:00,12850,S,uk-lnd,Enter,sym,asy24,1,69,0,69
2022-05-01 00:00:00,12859,S,nl-ams,BIT BV,sym,asy24,1,127,0,127
2022-05-01 00:00:00,12859,S,uk-lnd,BIT BV,sym,asy24,1,127,0,127
2022-05-01 00:00:00,12874,,nl-ams,FASTWEB S.p.A.,asy_out,asy24,1,5350,10,5340
2022-05-01 00:00:00,12876,,nl-ams,Scaleway,sym,asy24,1,917,15,902
2022-05-01 00:00:00,12883,,nl-ams,PrJSC FARLEP-INVEST,sym,asy24,1,21,0,21
2022-05-01 00:00:00,12888,,nl-ams,Amadeus Data Processing GmbH,sym,asy24,1,13,4,9
2022-05-01 00:00:00,12902,,nl-ams,Luna.nl BV,sym,asy24,1,18,0,18
2022-05-01 00:00:00,12931,S,uk-lnd,IDKOM Networks GmbH,asy_out,asy24,1,25,0,25
2022-05-01 00:00:00,12956,S,br-gru,TIWS_S2-v4,asy_in,asy24,1,358,355,3
2022-05-01 00:00:00,12969,,nl-ams,Fjarskipti hf (Vodafone Iceland),sym,asy24,1,281,0,281
2022-05-01 00:00:00,12989,S,br-gru,highwinds-v4,sym,asy24,1,85,81,4
2022-05-01 00:00:00,12993,S,nl-ams,Digitalas Ekonomikas Attistibas Centrs,sym,asy24,1,66,0,66
2022-05-01 00:00:00,13000,S,nl-ams,Leon Sp. z o.o.,sym,asy24,1,77,0,77
2022-05-01 00:00:00,13002,S,nl-ams,MTX hub (MTX services Sarl),sym,asy24,1,3,0,3
2022-05-01 00:00:00,13005,S,uk-lnd,Atlas Business Group of Companies Plc,sym,asy24,1,10,0,10
2022-05-01 00:00:00,13009,S,uk-lnd,Redcentric Solutions Limited,sym,asy24,1,77,0,77
2022-05-01 00:00:00,13030,S,uk-lnd,Init7 (Switzerland) AG,asy_in,asy24,1,230,2,228
2022-05-01 00:00:00,13101,S,nl-ams,TNG Stadtnetz GmbH,sym,asy24,1,242,0,242
2022-05-01 00:00:00,13122,S,nl-ams,MANX Telecom Ltd.,sym,asy24,1,126,0,126
2022-05-01 00:00:00,13122,S,uk-lnd,MANX Telecom Ltd.,sym,asy24,1,125,0,125
2022-05-01 00:00:00,131477,S,us-sea,Shanghai Huajuan Information Technology Co.  Ltd.,sym,asy24,1,7,6,1
2022-05-01 00:00:00,13194,,nl-ams,UAB „Bitė Lietuva“,sym,asy24,1,155,0,155
2022-05-01 00:00:00,13213,S,uk-lnd,UK-2 Ltd.,sym,asy24,1,390,145,245
2022-05-01 00:00:00,13213,,nl-ams,Virtual Internet UK Ltd,asy_in,asy24,1,390,332,58
2022-05-01 00:00:00,132203,S,uk-lnd,Aceville PTE.LTD,sym,asy24,1,846,110,736
2022-05-01 00:00:00,132203,S,br-gru,Tencent,asy_out,asy24,1,843,617,226
2022-05-01 00:00:00,132203,S,us-sea,Tencent,asy_out,asy24,1,843,560,283
2022-05-01 00:00:00,132203,S,nl-ams,Tencent,Híbrido,asy24,1,846,110,736
2022-05-01 00:00:00,13237,S,nl-ams,euNetworks GmbH,sym,asy24,1,199,0,199
2022-05-01 00:00:00,13237,S,uk-lnd,euNetworks GmbH,sym,asy24,1,199,0,199
2022-05-01 00:00:00,13249,,nl-ams,IT Systems LLC,sym,asy24,1,21,0,21
2022-05-01 00:00:00,13285,S,uk-lnd,TalkTalk,sym,asy24,1,2555,0,2555
2022-05-01 00:00:00,13285,S,nl-ams,TalkTalk Communications Ltd.,sym,asy24,1,2557,0,2557
2022-05-01 00:00:00,132876,S,nl-ams,Symphony Communications Pcl.,sym,asy24,1,3,0,3
2022-05-01 00:00:00,13331,S,us-sea,Metapeer  Inc.,Híbrido,asy24,1,8,6,2
2022-05-01 00:00:00,13335,S,br-poa,Cloudflare,asy_in,asy24,1,485,480,5
2022-05-01 00:00:00,13335,S,br-gru,Cloudflare,asy_out,asy24,1,484,428,56
2022-05-01 00:00:00,13335,S,us-sea,Cloudflare  Inc.,asy_out,asy24,1,485,433,52
2022-05-01 00:00:00,13335,S,uk-lnd,Cloudflare Inc.,Híbrido,asy24,1,485,360,125
2022-05-01 00:00:00,13357,S,br-gru,Irati_2,sym,asy24,1,7,0,7
2022-05-01 00:00:00,133613,S,nl-ams,MTel Telecommunication Company Limited,asy_out,asy24,1,20,0,20
2022-05-01 00:00:00,13370,S,us-sea,LocalTel Communications  aka Northwest Internet,sym,asy24,1,157,0,157
2022-05-01 00:00:00,13414,S,br-gru,twitter-v4,asy_in,asy24,1,29,0,29
2022-05-01 00:00:00,134176,S,us-sea,66Cloud Technology Co.  Ltd.,sym,asy24,1,28,19,9
2022-05-01 00:00:00,134512,,nl-ams,HostPalace Datacenters LTD,sym,asy24,1,14,0,14
2022-05-01 00:00:00,134526,S,us-sea,Every Day Technology Co Limited,sym,asy24,1,4,3,1
2022-05-01 00:00:00,13495,S,br-gru,V4_AS13495,sym,asy24,1,3,0,3
2022-05-01 00:00:00,135391,S,nl-ams,Aofei Data International,Híbrido,asy24,1,40,32,8
2022-05-01 00:00:00,136106,S,uk-lnd,FiberStar / PT Mega Akses Persada,sym,asy24,1,1,0,1
2022-05-01 00:00:00,136106,S,nl-ams,PT Mega Akses Persada,sym,asy24,1,1,0,1
2022-05-01 00:00:00,136175,S,us-sea,ServerHosh Internet Service,sym,asy24,1,5,1,4
2022-05-01 00:00:00,136907,S,br-gru,Huawei,asy_out,asy24,1,272,212,60
2022-05-01 00:00:00,136907,S,uk-lnd,Huawei Technologies Co.  Ltd (Guangdong-China),sym,asy24,1,272,208,64
2022-05-01 00:00:00,137367,S,nl-ams,"",Sem Redes na Amostra,asy24,1,,,
