date,asn,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,11090,us-sea,Matanuska Telephone Assoc,sym,any23,1,65,0,65
2022-05-01 00:00:00,11090,us-sea,Matanuska Telephone Assoc,sym,any24,1,66,0,66
2022-05-01 00:00:00,11090,us-sea,Matanuska Telephone Assoc,sym,asy23,1,65,0,65
2022-05-01 00:00:00,11090,us-sea,Matanuska Telephone Assoc,sym,asy24,1,66,0,66
2022-05-01 00:00:00,11179,nl-ams,Aryaka Networks  Inc.,Híbrido,any23,1,67,48,19
2022-05-01 00:00:00,11179,nl-ams,Aryaka Networks  Inc.,Híbrido,any24,1,67,48,19
2022-05-01 00:00:00,11179,nl-ams,Aryaka Networks  Inc.,Híbrido,asy23,1,64,47,17
2022-05-01 00:00:00,11179,nl-ams,Aryaka Networks  Inc.,Híbrido,asy24,1,64,47,17
2022-05-01 00:00:00,112,nl-ams,"",Sem Redes na Amostra,any23,1,,,
2022-05-01 00:00:00,112,nl-ams,"",Sem Redes na Amostra,any24,1,,,
2022-05-01 00:00:00,112,nl-ams,"",Sem Redes na Amostra,asy23,1,,,
2022-05-01 00:00:00,112,nl-ams,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11233,us-sea,Gorge Networks,sym,any23,1,32,0,32
2022-05-01 00:00:00,11233,us-sea,Gorge Networks,sym,any24,1,32,0,32
2022-05-01 00:00:00,11233,us-sea,Gorge Networks,sym,asy23,1,32,0,32
2022-05-01 00:00:00,11233,us-sea,Gorge Networks,sym,asy24,1,32,0,32
2022-05-01 00:00:00,1126,nl-ams,Vancis B.V.,sym,any23,1,20,0,20
2022-05-01 00:00:00,1126,nl-ams,Vancis B.V.,sym,any24,1,20,0,20
2022-05-01 00:00:00,1126,nl-ams,Vancis B.V.,sym,asy23,1,20,0,20
2022-05-01 00:00:00,1126,nl-ams,Vancis B.V.,sym,asy24,1,20,0,20
2022-05-01 00:00:00,11274,us-sea,TierPoint,sym,any23,1,67,0,67
2022-05-01 00:00:00,11274,us-sea,TierPoint,sym,any24,1,67,0,67
2022-05-01 00:00:00,11274,us-sea,TierPoint,sym,asy23,1,66,0,66
2022-05-01 00:00:00,11274,us-sea,TierPoint,sym,asy24,1,66,0,66
2022-05-01 00:00:00,11284,br-gru,NICbr_Anycast_AS11284,sym,any23,1,2,0,2
2022-05-01 00:00:00,11284,br-gru,NICbr_Anycast_AS11284,sym,any24,1,2,0,2
2022-05-01 00:00:00,11284,br-gru,NICbr_Anycast_AS11284,sym,asy23,1,1,0,1
2022-05-01 00:00:00,11284,br-gru,NICbr_Anycast_AS11284,sym,asy24,1,1,0,1
2022-05-01 00:00:00,11338,br-gru,SKY_Banda_Larga,asy_in,any23,1,12,0,12
2022-05-01 00:00:00,11338,br-gru,SKY_Banda_Larga,asy_in,any24,1,12,0,12
2022-05-01 00:00:00,11338,br-gru,SKY_Banda_Larga,asy_in,asy23,1,12,0,12
2022-05-01 00:00:00,11338,br-gru,SKY_Banda_Larga,asy_in,asy24,1,12,0,12
2022-05-01 00:00:00,1140,nl-ams,SIDN,sym,any23,1,5,0,5
2022-05-01 00:00:00,1140,nl-ams,SIDN,sym,any24,1,5,0,5
2022-05-01 00:00:00,1140,nl-ams,SIDN,sym,asy23,1,5,0,5
2022-05-01 00:00:00,1140,nl-ams,SIDN,sym,asy24,1,5,0,5
2022-05-01 00:00:00,11432,br-poa,Telium,asy_out,any23,1,114,0,114
2022-05-01 00:00:00,11432,br-poa,Telium,asy_out,any24,1,114,0,114
2022-05-01 00:00:00,11432,br-poa,Telium,asy_out,asy23,1,114,0,114
2022-05-01 00:00:00,11432,br-poa,Telium,asy_out,asy24,1,114,0,114
2022-05-01 00:00:00,11432,br-gru,Telium,sym,any23,1,114,0,114
2022-05-01 00:00:00,11432,br-gru,Telium,sym,any24,1,114,0,114
2022-05-01 00:00:00,11432,br-gru,Telium,sym,asy23,1,114,0,114
2022-05-01 00:00:00,11432,br-gru,Telium,sym,asy24,1,114,0,114
2022-05-01 00:00:00,11644,br-gru,"",Sem Redes na Amostra,asy23,1,,,
2022-05-01 00:00:00,11644,br-poa,"",Sem Redes na Amostra,asy23,1,,,
2022-05-01 00:00:00,11644,br-gru,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11644,br-poa,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11644,br-gru,D.DNS.BR,asy_out,any23,1,2,0,2
2022-05-01 00:00:00,11644,br-gru,D.DNS.BR,asy_out,any24,1,2,0,2
2022-05-01 00:00:00,11644,br-poa,d.dns.br anycast - Nic.br,asy_out,any23,1,2,1,1
2022-05-01 00:00:00,11644,br-poa,d.dns.br anycast - Nic.br,asy_out,any24,1,2,1,1
2022-05-01 00:00:00,11686,us-sea,Education Networks of America,asy_out,any23,1,346,15,331
2022-05-01 00:00:00,11686,us-sea,Education Networks of America,asy_out,any24,1,350,15,335
2022-05-01 00:00:00,11686,us-sea,Education Networks of America,asy_out,asy23,1,346,15,331
2022-05-01 00:00:00,11686,us-sea,Education Networks of America,asy_out,asy24,1,350,15,335
2022-05-01 00:00:00,11751,br-gru,ICEP,asy_out,any23,1,4,1,3
2022-05-01 00:00:00,11751,br-gru,ICEP,asy_out,any24,1,4,1,3
2022-05-01 00:00:00,11751,br-gru,ICEP,asy_out,asy23,1,4,1,3
2022-05-01 00:00:00,11751,br-gru,ICEP,asy_out,asy24,1,4,1,3
2022-05-01 00:00:00,11796,us-sea,Airstream Communications,sym,any23,1,305,0,305
2022-05-01 00:00:00,11796,us-sea,Airstream Communications,sym,any24,1,305,0,305
2022-05-01 00:00:00,11796,us-sea,Airstream Communications,sym,asy23,1,305,0,305
2022-05-01 00:00:00,11796,us-sea,Airstream Communications,sym,asy24,1,305,0,305
2022-05-01 00:00:00,11835,br-gru,SulInternet-S2-v4,sym,any23,1,75,1,74
2022-05-01 00:00:00,11835,br-gru,SulInternet-S2-v4,sym,any24,1,74,1,73
2022-05-01 00:00:00,11835,br-gru,SulInternet-S2-v4,sym,asy23,1,75,1,74
2022-05-01 00:00:00,11835,br-gru,SulInternet-S2-v4,sym,asy24,1,74,1,73
2022-05-01 00:00:00,11844,br-gru,Ole_Telecom,sym,any23,1,52,0,52
2022-05-01 00:00:00,11844,br-gru,Ole_Telecom,sym,any24,1,52,0,52
2022-05-01 00:00:00,11844,br-gru,Ole_Telecom,sym,asy23,1,52,0,52
2022-05-01 00:00:00,11844,br-gru,Ole_Telecom,sym,asy24,1,52,0,52
2022-05-01 00:00:00,11922,us-sea,RealNetworks  Inc.,sym,any23,1,7,0,7
2022-05-01 00:00:00,11922,us-sea,RealNetworks  Inc.,sym,any24,1,7,0,7
2022-05-01 00:00:00,11922,us-sea,RealNetworks  Inc.,sym,asy23,1,7,0,7
2022-05-01 00:00:00,11922,us-sea,RealNetworks  Inc.,sym,asy24,1,7,0,7
2022-05-01 00:00:00,11924,us-sea,Montana Opticom LLC,sym,any23,1,30,0,30
2022-05-01 00:00:00,11924,us-sea,Montana Opticom LLC,sym,any24,1,30,0,30
2022-05-01 00:00:00,11924,us-sea,Montana Opticom LLC,sym,asy23,1,30,0,30
2022-05-01 00:00:00,11924,us-sea,Montana Opticom LLC,sym,asy24,1,30,0,30
2022-05-01 00:00:00,12041,nl-ams,"",Sem Redes na Amostra,asy23,1,,,
2022-05-01 00:00:00,12041,nl-ams,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,12041,nl-ams,Afilias Ltd.,asy_out,any23,1,219,76,143
2022-05-01 00:00:00,12041,nl-ams,Afilias Ltd.,asy_out,any24,1,219,76,143
2022-05-01 00:00:00,12136,br-gru,E.DNS.BR,asy_out,any23,1,2,1,1
2022-05-01 00:00:00,12136,br-gru,E.DNS.BR,asy_out,any24,1,2,1,1
2022-05-01 00:00:00,12136,br-gru,E.DNS.BR,asy_out,asy23,1,2,1,1
2022-05-01 00:00:00,12136,br-gru,E.DNS.BR,asy_out,asy24,1,2,1,1
2022-05-01 00:00:00,12189,nl-ams,phoenixNAP EU B.V.,asy_in,any23,1,11,7,4
2022-05-01 00:00:00,12189,nl-ams,phoenixNAP EU B.V.,asy_in,any24,1,11,6,5
2022-05-01 00:00:00,12189,nl-ams,phoenixNAP EU B.V.,asy_in,asy23,1,10,7,3
2022-05-01 00:00:00,12189,nl-ams,phoenixNAP EU B.V.,asy_in,asy24,1,10,6,4
2022-05-01 00:00:00,12200,uk-lnd,Rackspace Managed Hosting,sym,any23,1,4,1,3
2022-05-01 00:00:00,12200,uk-lnd,Rackspace Managed Hosting,sym,any24,1,4,1,3
2022-05-01 00:00:00,12200,uk-lnd,Rackspace Managed Hosting,sym,asy23,1,4,1,3
2022-05-01 00:00:00,12200,uk-lnd,Rackspace Managed Hosting,sym,asy24,1,4,1,3
2022-05-01 00:00:00,12290,uk-lnd,Exonetric,sym,any23,1,6,0,6
2022-05-01 00:00:00,12290,uk-lnd,Exonetric,sym,any24,1,6,0,6
2022-05-01 00:00:00,12290,uk-lnd,Exonetric,sym,asy23,1,6,0,6
2022-05-01 00:00:00,12290,uk-lnd,Exonetric,sym,asy24,1,6,0,6
2022-05-01 00:00:00,12329,nl-ams,TMR Telekommunikation Mittleres Ruhrgebiet GmbH,asy_out,any23,1,33,0,33
2022-05-01 00:00:00,12329,nl-ams,TMR Telekommunikation Mittleres Ruhrgebiet GmbH,asy_out,asy23,1,33,0,33
