date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,284,,16,,136,,7,,6,,25
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,383,,20,,35,,5,,5,,26,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,281,,16,,100,,8,,11,,26
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,341,,22,,35,,9,,9,,26,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,177,,2,,17,,2,,1,,18
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,186,,3,,7,,3,,1,,17,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,136,,20,,23,,2,,6,,17
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,142,,19,,12,,5,,9,,17,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1401,,15,,174,,21,,30,,234
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1453,,21,,116,,22,,28,,235,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,285,,15,,136,,6,,6,,25
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,383,,20,,34,,6,,5,,25,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,280,,16,,103,,8,,10,,26
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,345,,22,,36,,7,,8,,25,
2022-05-04 00:00:00,asy23,poaixbr,,7953,,220,,6074,,77,,1802,,180,,2,,16,,2,,1,,19
2022-05-04 00:00:00,asy24,poaixbr,7973,,220,,6299,,85,,1589,,189,,3,,7,,2,,1,,18,
2022-05-04 00:00:00,asy23,six,,31283,,205,,27019,,1074,,3190,,122,,11,,43,,8,,4,,17
