date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,281,,15,,131,,16,,6,,25
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,377,,19,,31,,16,,5,,26,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,276,,15,,99,,15,,11,,26
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,334,,21,,35,,17,,9,,26,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,177,,2,,16,,3,,1,,18
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,186,,3,,7,,3,,1,,17,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,134,,19,,22,,6,,6,,17
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,141,,18,,11,,8,,9,,17,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1401,,15,,174,,21,,30,,234
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1453,,21,,115,,23,,28,,235,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,282,,14,,131,,15,,6,,25
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,378,,19,,30,,16,,5,,25,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,274,,15,,102,,16,,10,,26
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,335,,21,,35,,19,,8,,25,
2022-05-04 00:00:00,asy23,poaixbr,,7953,,220,,6074,,77,,1802,,180,,2,,15,,3,,1,,19
2022-05-04 00:00:00,asy24,poaixbr,7973,,220,,6299,,85,,1589,,189,,3,,7,,2,,1,,18,
2022-05-04 00:00:00,asy23,six,,31283,,205,,27019,,1074,,3190,,122,,10,,41,,11,,4,,17
2022-05-04 00:00:00,asy24,six,31235,,205,,27552,,1156,,2527,,135,,10,,27,,12,,4,,17,
2022-05-04 00:00:00,asy23,spoixbr,,34991,,1885,,29918,,292,,4781,,1415,,18,,173,,20,,30,,229
2022-05-04 00:00:00,asy24,spoixbr,35236,,1885,,30048,,598,,4590,,1462,,20,,114,,21,,28,,240,
2022-05-03 00:00:00,asy23,amsix,,85743,,475,,54272,,1883,,29588,,280,,17,,132,,16,,6,,24
2022-05-03 00:00:00,asy24,amsix,89953,,475,,71202,,5996,,12755,,379,,21,,30,,16,,5,,24,
2022-05-03 00:00:00,asy23,linx,,65223,,442,,48911,,3773,,12539,,276,,16,,100,,16,,10,,24
2022-05-03 00:00:00,asy24,linx,65918,,442,,58936,,4455,,2527,,332,,22,,36,,20,,8,,24,
