date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,280,,15,,127,,21,,6,,25
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,375,,19,,31,,18,,5,,26,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,274,,14,,99,,18,,11,,26
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,328,,21,,35,,23,,9,,26,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,177,,2,,16,,3,,1,,18
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,186,,3,,7,,3,,1,,17,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,133,,17,,22,,9,,6,,17
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,140,,16,,11,,11,,9,,17,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1399,,14,,173,,25,,30,,234
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1451,,21,,115,,25,,28,,235,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,281,,14,,128,,19,,6,,25
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,376,,19,,30,,18,,5,,25,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,273,,14,,102,,18,,10,,26
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,332,,20,,35,,23,,8,,25,
2022-05-04 00:00:00,asy23,poaixbr,,7953,,220,,6074,,77,,1802,,179,,2,,15,,4,,1,,19
2022-05-04 00:00:00,asy24,poaixbr,7973,,220,,6299,,85,,1589,,188,,3,,7,,3,,1,,18,
2022-05-04 00:00:00,asy23,six,,31283,,205,,27019,,1074,,3190,,120,,8,,40,,16,,4,,17
2022-05-04 00:00:00,asy24,six,31235,,205,,27552,,1156,,2527,,133,,8,,25,,18,,4,,17,
2022-05-04 00:00:00,asy23,spoixbr,,34991,,1885,,29918,,292,,4781,,1413,,17,,171,,25,,30,,229
2022-05-04 00:00:00,asy24,spoixbr,35236,,1885,,30048,,598,,4590,,1459,,19,,114,,25,,28,,240,
2022-05-03 00:00:00,asy23,amsix,,85743,,475,,54272,,1883,,29588,,280,,17,,129,,19,,6,,24
2022-05-03 00:00:00,asy24,amsix,89953,,475,,71202,,5996,,12755,,378,,21,,30,,17,,5,,24,
